player_id,game_id,Min,FGM,FGA,3PA,3PM,FTA,FTM,OREB,REB,AST,ST,BLK,Turnover,PF,PTS
83,7,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0
74,7,29,3,8,2,0,2,2,4,11,0,0,0,1,3,8
75,7,27,2,5,3,1,2,1,1,8,0,0,1,2,4,6
84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,7,28,4,13,5,1,0,0,0,2,2,2,0,2,4,9
78,7,16,0,0,0,0,4,4,0,5,1,1,0,0,0,4
79,7,37,10,15,7,5,10,6,3,5,3,0,2,4,1,31
80,7,23,1,4,3,0,0,0,1,2,0,1,0,0,4,2
82,7,36,7,12,7,3,2,2,2,4,1,1,0,2,2,19
26,7,7,1,2,0,0,0,0,1,3,1,0,0,0,1,2
27,7,20,0,2,2,0,0,0,1,4,0,1,0,0,1,0
28,7,33,6,11,4,1,4,3,0,7,1,0,0,4,4,16
32,7,10,1,5,2,0,1,1,0,1,1,1,0,0,2,3
33,7,34,4,8,2,0,3,2,1,3,2,1,0,3,1,10
30,7,33,3,9,2,0,4,0,0,3,1,2,1,3,5,6
31,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,7,34,8,13,7,2,6,5,0,1,0,0,0,0,2,23
34,7,22,0,3,3,0,0,0,0,1,0,1,0,0,3,0
49,6,24,7,11,0,0,4,3,2,6,1,0,1,6,1,17
50,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,6,15,4,7,0,0,4,4,1,1,1,0,0,1,2,10
59,6,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1
55,6,39,5,9,3,1,4,4,0,0,0,2,0,3,2,15
57,6,24,0,2,1,0,0,0,0,3,0,0,0,0,1,0
54,6,34,2,4,1,0,0,0,0,4,1,2,0,3,4,4
56,6,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0
58,6,30,4,12,2,0,0,0,0,7,1,1,0,1,2,8
60,6,30,1,4,2,0,0,0,1,9,2,0,0,2,4,2
26,6,3,1,1,0,0,0,0,1,1,0,1,0,1,3,2
27,6,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0
28,6,36,10,16,7,3,2,1,6,15,1,3,0,2,1,24
30,6,35,7,12,2,1,4,2,0,5,1,3,1,1,1,17
33,6,26,0,6,3,0,0,0,1,3,3,0,0,4,2,0
31,6,11,1,2,2,1,0,0,0,1,0,0,0,2,1,3
32,6,12,2,5,3,0,4,3,0,2,0,1,0,0,1,7
29,6,33,2,11,5,0,4,3,2,5,2,1,0,0,0,7
34,6,28,2,6,6,2,4,3,0,1,1,1,0,1,2,9
83,7,4,NULL,0,0,0,0,0,1,1,0,0,0,1,0,0
74,7,29,NULL,8,2,0,2,2,4,11,0,0,0,1,3,8
75,7,27,NULL,5,3,1,2,1,1,8,0,0,1,2,4,6
84,7,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
76,7,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0
77,7,28,NULL,13,5,1,0,0,0,2,2,2,0,2,4,9
78,7,16,NULL,0,0,0,4,4,0,5,1,1,0,0,0,4
79,7,37,NULL,15,7,5,10,6,3,5,3,0,2,4,1,31
80,7,23,NULL,4,3,0,0,0,1,2,0,1,0,0,4,2
82,7,36,NULL,12,7,3,2,2,2,4,1,1,0,2,2,19
9,5,26,4,6,0,0,0,0,0,5,0,0,1,1,3,8
10,5,10,2,4,0,0,4,3,6,7,0,0,0,1,2,7
12,5,39,6,14,2,2,8,7,0,8,1,1,0,2,3,21
13,5,39,9,18,8,3,2,1,0,3,3,2,0,3,1,23
15,5,18,0,4,2,0,0,0,0,2,1,0,0,0,0,0
11,5,32,4,7,2,0,0,0,0,2,0,1,0,0,1,8
14,5,29,2,8,4,1,6,5,1,2,3,1,0,1,2,10
