Name,POS,MIN,FGM-A,3PM-A,FTM-A,OREB,REB,AST,ST,BLK,TO,PF,PTS
Wesley Iwundu,F,35,9-Jun,2-Jan,13-Nov,1,6,7,1,0,2,3,24
D.J. Johnson,F,34,9-Aug,0-0,2-Feb,3,6,0,0,3,0,4,18
Xavier Sneed,F,12,0-2,0-2,4-Feb,0,2,2,4,0,2,3,2
Isaiah Maurice,F,6,0-0,0-0,0-0,0,1,0,0,0,1,3,0
Dean Wade,F,23,4-Mar,0-1,3-Feb,0,2,2,0,0,2,2,8
Barry Brown,G,38,10-Jun,0-2,4-Feb,0,5,3,0,0,0,3,14
Carlbe Ervin,G,17,3-Mar,0-0,2-Jan,2,4,1,0,0,3,4,7
Brian Patrick,G,5,0-1,0-1,0-0,0,0,0,0,0,0,1,0
Kamau Stokes,G,30,9-May,8-May,8-Jul,0,2,3,1,0,5,3,22
Total,,31-47,16-Jun,27-36,6,28,18,6,3,15,26,95,
,66.00%,37.50%,75.00%,,,,,,,,,,
