Name,POS,MIN,FGM-A,3PM-A,FTM-A,OREB,REB,AST,ST,BLK,TO,PF,PTS
Sam Japhet-Mathias,C,2,0-0,0-0,0-0,0,0,0,0,0,0,2,0
Konstantinos Mitoglou,F,29,5-Jan,4-Jan,6-Apr,1,2,0,1,0,0,4,7
Greg McClinton,F,4,0-0,0-0,0-0,0,0,0,0,0,0,2,0
John Collins,F,36,13-Sep,0-0,8-Aug,4,9,0,1,0,2,2,26
Austin Arians,F,19,7-May,5-Apr,3-Mar,0,0,0,0,0,1,3,17
Mitchell Wilbekin,G,23,4-Feb,4-Feb,2-Jan,0,1,0,2,0,0,1,7
Brandon Childress,G,16,5-Jan,4-Jan,4-Apr,0,1,1,1,0,2,2,7
Bryant Crawford,G,36,11-May,5-Jan,9-Sep,1,4,10,3,1,4,3,20
Trent VanHorn,G,1,0-0,0-0,0-0,0,1,0,0,0,0,1,0
Keyshawn Woods,G,34,8-Feb,0-5,0-0,0,1,3,0,0,2,5,4
Total,,25-53,27-Sep,29-32,6,19,14,8,1,11,25,88,
,47.20%,33.30%,90.60%,,,,,,,,,,
