id,name,height,weight,DOB,position_id,team_id
1,"Wesley Iwundu",NULL,NULL,NULL,2,4
2,"D.J. Johnson",NULL,NULL,NULL,2,4
3,"Xavier Sneed",NULL,NULL,NULL,2,4
4,"Isaiah Maurice",NULL,NULL,NULL,2,4
5,"Dean Wade",NULL,NULL,NULL,2,4
6,"Barry Brown",NULL,NULL,NULL,1,4
7,"Carlbe Ervin",NULL,NULL,NULL,1,4
8,"Brian Patrick",NULL,NULL,NULL,1,4
9,"Kamau Stokes",NULL,NULL,NULL,1,4
10,"Sam Japhet-Mathias",NULL,NULL,NULL,3,1
11,"Konstantinos Mitoglou",NULL,NULL,NULL,2,1
12,"Greg McClinton",NULL,NULL,NULL,2,1
13,"John Collins",NULL,NULL,NULL,2,1
14,"Austin Arians",NULL,NULL,NULL,2,1
15,"Mitchell Wilbekin",NULL,NULL,NULL,1,1
16,"Brandon Childress",NULL,NULL,NULL,1,1
17,"Bryant Crawford",NULL,NULL,NULL,1,1
18,"Trent VanHorn",NULL,NULL,NULL,1,1
19,"Keyshawn Woods",NULL,NULL,NULL,1,1
