id,date,region_id,name
1,2017-03-14,1,"first four"
2,2017-03-14,2,"first four"
3,2017-03-14,2,"first four"
4,2017-03-15,4,"first four"
5,2017-03-16,1,"first round"
6,2017-03-17,1,"first round"
7,2017-03-16,2,"first round"
8,2017-03-17,2,"first round"
9,2017-03-16,3,"first round"
10,2017-03-16,4,"first round"
11,2017-03-17,4,"first round"
12,2017-03-18,1,"second round"
13,2017-03-19,1,"second round"
14,2017-03-18,2,"second round"
15,2017-03-19,2,"second round"
16,2017-03-18,3,"second round"
17,2017-03-18,4,"second round"
18,2017-03-19,4,"second round"
19,2017-03-24,1,"regional semifinals"
20,2017-03-24,2,"regional semifinals"
21,2017-03-24,3,"regional semifinals"
22,2017-03-23,4,"regional semifinals"
23,2017-03-26,1,"regional finals"
24,2017-03-26,2,"regional finals"
25,2017-03-25,3,"regional finals"
26,2017-03-25,4,"regional finals"
27,2017-04-01,NULL,"final four A"
28,2017-04-01,NULL,"final four B"
29,2017-04-03,NULL,"national championship"
