,Name,POS,MIN,FGM-A,3PM-A,FTM-A,OREB,REB,AST,ST,BLK,TO,PF,PTS
0,Xavier Sneed,F,30,7-14,5-8,3-7,2.0,9.0,1.0,2.0,0.0,0.0,5.0,22.0
1,Makol Mawien,F,22,0-4,0-0,0-0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0
2,Levi Stockard,F,5,0-0,0-0,2-2,0.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0
3,Dean Wade,F,8,1-2,0-0,2-2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0
4,Cartier Diarra,G,27,2-6,1-2,0-1,1.0,3.0,2.0,2.0,0.0,1.0,4.0,5.0
5,Amaad Wainright,G,9,2-3,0-1,2-4,2.0,4.0,0.0,0.0,0.0,1.0,4.0,6.0
6,Mike McGuirl,G,21,1-3,1-2,0-0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0
7,Kamau Stokes,G,39,2-7,1-5,1-1,2.0,5.0,3.0,4.0,0.0,2.0,1.0,6.0
8,Barry Brown,G,39,4-15,1-4,4-5,0.0,3.0,3.0,0.0,0.0,2.0,2.0,13.0
9,Total,,19-54,9-22,14-22,9,27.0,12.0,11.0,2.0,9.0,30.0,61.0,
10,,35.20%,40.90%,63.60%,,,,,,,,,,
