,Name,POS,MIN,FGM-A,3PM-A,FTM-A,OREB,REB,AST,ST,BLK,TO,PF,PTS
0,PJ Washington,F,40,5-7,0-0,8-20,6.0,15.0,0.0,3.0,1.0,2.0,4.0,18.0
1,Nick Richards,F,8,0-0,0-0,1-2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2,Kevin Knox,F,34,5-10,1-3,2-2,0.0,8.0,0.0,1.0,1.0,2.0,4.0,13.0
3,Wenyen Gabriel,F,27,1-5,0-2,1-1,2.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0
4,Sacha Killeya-Jones,F,14,0-1,0-0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5,Quade Green,G,25,2-5,2-4,0-0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,6.0
6,Shai Gilgeous-Alexander,G,39,2-10,0-2,11-12,2.0,5.0,5.0,0.0,0.0,5.0,2.0,15.0
7,Hamidou Diallo,G,13,1-4,0-1,0-0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0
8,Total,,16-42,3-12,23-37,11,38.0,6.0,5.0,3.0,15.0,21.0,58.0,
9,,38.10%,25.00%,62.20%,,,,,,,,,,
