Name,POS,MIN,FGM-A,3PM-A,FTM-A,OREB,REB,AST,ST,BLK,TO,PF,PTS
Jon Teske,C,7,1-2,0-0,0-0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0
Isaiah Livers,F,20,0-2,0-2,0-0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
Moritz Wagner,F,33,6-11,1-4,3-4,0.0,7.0,1.0,0.0,0.0,4.0,4.0,16.0
Austin Davis,F,00,0-0,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Baird,F,00,0-0,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Poole,G,10,1-5,0-2,1-1,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0
Zavier Simpson,G,34,4-8,0-2,2-3,1.0,3.0,2.0,1.0,0.0,3.0,1.0,10.0
Charles Matthews,G,33,3-9,0-2,0-4,0.0,3.0,1.0,2.0,1.0,3.0,5.0,6.0
Jaaron Simmons,G,3,0-0,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eli Brooks,G,3,0-0,0-0,0-0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhammad-Ali Abdur-Rahkman,G,34,8-13,2-7,5-6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,23.0
Ibi Watson,G-F,1,1-2,0-1,0-0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Duncan Robinson,G-F,22,0-3,0-3,0-0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
Total,,24-55,3-23,11-18,5,26.0,6.0,6.0,1.0,10.0,20.0,62.0,
,43.60%,13.00%,61.10%,,,,,,,,,,
