Name,POS,MIN,FGM-A,3PM-A,FTM-A,OREB,REB,AST,ST,BLK,TO,PF,PTS
Dhamir Cosby-Roundtree,F,4,0-0,0-0,0-0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Omari Spellman,F,29,3-8,0-2,2-2,4.0,11.0,0.0,0.0,0.0,1.0,3.0,8.0
Eric Paschall,F,27,2-5,1-3,1-2,1.0,8.0,0.0,0.0,1.0,2.0,4.0,6.0
Jermaine Samuels,F,00,0-0,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Delaney,F,00,0-0,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Brunson,G,28,4-13,1-5,0-0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,9.0
Collin Gillespie,G,16,0-0,0-0,4-4,0.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0
Donte DiVincenzo,G,37,10-15,5-7,6-10,3.0,5.0,3.0,0.0,2.0,4.0,1.0,31.0
Phil Booth,G,23,1-4,0-3,0-0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,2.0
Mikal Bridges,G-F,36,7-12,3-7,2-2,2.0,4.0,1.0,1.0,0.0,2.0,2.0,19.0
Total,,27-57,10-27,15-20,12,38.0,7.0,5.0,3.0,12.0,18.0,79.0,
,47.40%,37.00%,75.00%,,,,,,,,,,
