Team Seed,Team Name,Team Mascot
1,Virginia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia.svg
16,UMBC,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/umbc.svg
8,Creighton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/creighton.svg
9,Kansas St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas-st.svg
5,Kentucky,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kentucky.svg
12,Davidson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/davidson.svg
4,Arizona,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg
13,Buffalo,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/buffalo.svg
6,Miami (FL),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-fl.svg
11,Loyola (IL),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-il.svg
3,Tennessee,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tennessee.svg
14,Wright St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wright-st.svg
7,Nevada,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/nevada.svg
10,Texas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas.svg
2,Cincinnati,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cincinnati.svg
15,Georgia St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-st.svg
1,Villanova,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg
16,Radford,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/radford.svg
8,Virginia Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-tech.svg
9,Alabama,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg
5,West Virginia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-virginia.svg
12,Murray St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/murray-st.svg
4,Wichita St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wichita-st.svg
13,Marshall,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/marshall.svg
6,Florida,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/florida.svg
11,St. Bonaventure,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-bonaventure.svg
3,Texas Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-tech.svg
14,Stephen F. Austin,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/stephen-f-austin.svg
7,Arkansas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg
10,Butler,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/butler.svg
2,Purdue,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/purdue.svg
15,Cal St. Fullerton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg
3,Michigan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg
1,Kansas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas.svg
1,Xavier,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/xavier.svg
16,Texas Southern,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-southern.svg
8,Missouri,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri.svg
9,Florida St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-st.svg
5,Ohio St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-st.svg
12,South Dakota St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/south-dakota-st.svg
4,Gonzaga,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg
13,UNC Greensboro,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-greensboro.svg
6,Houston,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/houston.svg
11,San Diego St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/san-diego-st.svg
14,Montana,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/montana.svg
7,Texas A&M,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-am.svg
10,Providence,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/providence.svg
2,North Carolina,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg
15,Lipscomb,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lipscomb.svg
16,Penn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/penn.svg
8,Seton Hall,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/seton-hall.svg
9,North Carolina St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina-st.svg
5,Clemson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/clemson.svg
12,New Mexico St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/new-mexico-st.svg
4,Auburn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg
13,Col. of Charleston,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/col-of-charleston.svg
6,TCU,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tcu.svg
11,Syracuse,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg
3,Michigan St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg
14,Bucknell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg
7,Rhode Island,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rhode-island.svg
